timestamp,Aussentemperatur,Ist-Temperatur Heizkreis,Ist-Temperatur Warmwasser,Leistungsaufnahme Heizen gesamt,Leistungsaufnahme Heizen pro Tag,Leistungsaufnahme Warmwasser gesamt,Leistungsaufnahme Warmwasser pro Tag,Puffer-Ist-Temperatur,Puffer-Soll-Temperatur,Rücklauf-Temperatur,Soll-Temperatur Heizkreis,Soll-Temperatur Warmwasser,Vorlauf-Temperatur,Wärmemenge Heizen gesamt,Wärmemenge Heizen pro Tag,Wärmemenge Warmwasser gesamt,Wärmemenge Warmwasser pro Tag
1678748749242,11.600000381469727,26.200000762939453,45.400001525878906,520.0,0.0,220.0,0.0,26.200000762939453,24.200000762939453,26.200000762939453,24.200000762939453,47.5,20.799999237060547,971.0,0.0,675.0,0.0
1678749050241,11.5,26.200000762939453,45.400001525878906,520.0,0.0,220.0,0.0,26.200000762939453,24.299999237060547,26.200000762939453,24.299999237060547,47.5,20.799999237060547,971.0,0.0,675.0,0.0
1678749350242,11.5,26.200000762939453,45.29999923706055,520.0,0.0,220.0,0.0,26.200000762939453,24.299999237060547,26.200000762939453,24.299999237060547,47.5,20.799999237060547,971.0,0.0,675.0,0.0
1678749651242,11.5,25.799999237060547,45.20000076293945,520.0,0.0,220.0,0.0,26.200000762939453,24.299999237060547,26.200000762939453,24.299999237060547,47.5,20.799999237060547,971.0,0.0,675.0,0.0
1678749951243,11.5,25.799999237060547,45.099998474121094,520.0,0.0,220.0,0.0,25.799999237060547,24.299999237060547,25.799999237060547,24.299999237060547,47.5,20.799999237060547,971.0,0.0,675.0,0.0
1678750252239,11.5,25.799999237060547,45.0,520.0,0.0,220.0,0.0,25.799999237060547,24.299999237060547,25.799999237060547,24.299999237060547,47.5,20.799999237060547,971.0,0.0,675.0,0.0
1678750552244,11.600000381469727,25.799999237060547,45.0,520.0,0.0,220.0,0.0,25.799999237060547,24.200000762939453,25.799999237060547,24.299999237060547,47.5,19.799999237060547,971.0,0.0,675.0,0.0
1678750852254,11.600000381469727,25.799999237060547,45.0,520.0,0.0,220.0,0.0,26.200000762939453,24.200000762939453,26.200000762939453,24.299999237060547,47.5,19.799999237060547,971.0,0.0,675.0,0.0
1678751153244,11.5,25.799999237060547,45.0,520.0,0.0,220.0,0.0,25.799999237060547,24.299999237060547,25.799999237060547,24.299999237060547,47.5,19.799999237060547,971.0,0.0,675.0,0.0
1678751454240,11.600000381469727,25.799999237060547,45.0,520.0,0.0,220.0,0.0,25.799999237060547,24.200000762939453,25.799999237060547,24.200000762939453,47.5,19.799999237060547,971.0,0.0,675.0,0.0
1678751754242,11.600000381469727,25.799999237060547,44.79999923706055,520.0,0.0,220.0,0.0,25.799999237060547,24.200000762939453,25.799999237060547,24.200000762939453,47.5,19.799999237060547,971.0,0.0,675.0,0.0
1678752055248,11.5,25.799999237060547,44.599998474121094,520.0,0.0,220.0,0.0,25.799999237060547,24.299999237060547,25.799999237060547,24.200000762939453,47.5,19.799999237060547,971.0,0.0,675.0,0.0
1678752356244,11.5,25.799999237060547,44.599998474121094,520.0,0.0,220.0,0.0,25.799999237060547,24.299999237060547,25.799999237060547,24.200000762939453,47.5,19.799999237060547,971.0,0.0,675.0,0.0
1678752657239,11.5,25.399999618530273,44.599998474121094,520.0,0.0,220.0,0.0,25.799999237060547,24.299999237060547,25.799999237060547,24.299999237060547,47.5,18.700000762939453,971.0,0.0,675.0,0.0
1678752958244,11.5,25.399999618530273,44.5,520.0,0.0,220.0,0.0,25.399999618530273,24.299999237060547,25.399999618530273,24.299999237060547,47.5,18.700000762939453,971.0,0.0,675.0,0.0
1678753259277,11.5,25.399999618530273,44.599998474121094,520.0,0.0,220.0,0.0,25.399999618530273,24.299999237060547,25.399999618530273,24.299999237060547,47.5,18.700000762939453,971.0,0.0,675.0,0.0
1678753560252,11.5,25.399999618530273,44.400001525878906,520.0,0.0,220.0,0.0,25.399999618530273,24.299999237060547,25.399999618530273,24.299999237060547,47.5,18.700000762939453,971.0,0.0,675.0,0.0
1678753860255,11.399999618530273,25.399999618530273,44.20000076293945,520.0,0.0,220.0,0.0,25.399999618530273,24.299999237060547,25.399999618530273,24.299999237060547,47.5,18.700000762939453,971.0,0.0,675.0,0.0
1678754161242,11.399999618530273,25.399999618530273,44.099998474121094,520.0,0.0,220.0,0.0,25.399999618530273,24.299999237060547,25.399999618530273,24.299999237060547,47.5,18.700000762939453,971.0,0.0,675.0,0.0
1678754461243,11.5,25.399999618530273,44.099998474121094,520.0,0.0,220.0,0.0,25.399999618530273,24.299999237060547,25.399999618530273,24.299999237060547,47.5,18.700000762939453,971.0,0.0,675.0,0.0
1678754761247,11.300000190734863,25.399999618530273,44.099998474121094,520.0,0.0,220.0,0.0,25.399999618530273,24.399999618530273,25.399999618530273,24.399999618530273,47.5,18.700000762939453,971.0,0.0,675.0,0.0
1678755061248,11.399999618530273,25.399999618530273,44.0,520.0,0.0,220.0,0.0,25.399999618530273,24.299999237060547,25.399999618530273,24.299999237060547,47.5,18.700000762939453,971.0,0.0,675.0,0.0
1678755362245,11.5,25.399999618530273,44.0,520.0,0.0,220.0,0.0,25.399999618530273,24.299999237060547,25.399999618530273,24.299999237060547,47.5,18.700000762939453,971.0,0.0,675.0,0.0
1678755662247,11.399999618530273,25.399999618530273,43.79999923706055,520.0,0.0,220.0,0.0,25.0,24.399999618530273,25.0,24.299999237060547,47.5,17.700000762939453,971.0,0.0,675.0,0.0
